,FANTASYPTS,position,relative_value,id,name,sigma,proj_dist,proj_points
113,123.0,TE,1.7019669495578793,TE21,brenton-strange,0.154034109169236,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e3410>,0.0
114,127.5,WR,1.6952554270731066,WR90,jalen-tolbert,0.15351748778291233,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e0650>,0.0
115,127.4,WR,1.6937450029267302,WR33,travis-hunter,0.1534012224469609,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e10a0>,0.0
116,232.4,QB,1.688611338055448,QB19,c.j.-stroud,0.15300605710724247,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e2ed0>,0.0
117,143.9,RB,1.6869710144100412,RB60,kareem-hunt,0.15287979271974586,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e1850>,0.0
118,124.6,WR,1.651453126828184,WR28,tetairoa-mcmillan,0.1501457930403201,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e0c20>,0.0
119,224.0,QB,1.6263625367842653,QB23,michael-penix-jr.,0.14821443760769248,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e1580>,0.0
120,222.6,QB,1.6159877365724018,QB22,matthew-stafford,0.1474158343577675,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201e0e00>,0.0
121,116.5,TE,1.609215383953823,TE8,david-njoku,0.14689453055428314,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a8fe0>,0.0
122,121.0,WR,1.5970778575586246,WR48,emeka-egbuka,0.14596024094606766,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a8500>,0.0
123,120.6,WR,1.5910361609731178,WR29,jaylen-waddle,0.14549517960226183,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a83e0>,0.0
124,119.7,WR,1.5774423436557283,WR92,nick-westbrook-ikhine,0.14444879157869875,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201abfe0>,0.0
125,119.6,WR,1.5759319195093515,WR66,kyle-williams,0.14433252624274728,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201aa1b0>,0.0
126,119.0,WR,1.5668693746310915,WR71,deandre-hopkins,0.14363493422703855,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a8680>,0.0
127,112.4,TE,1.5507105502651104,TE17,hunter-henry,0.14239110404331284,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a84a0>,0.0
128,117.9,WR,1.5502547090209484,WR35,rome-odunze,0.1423560155315725,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a8f80>,0.0
129,131.9,RB,1.5441820567475575,RB34,javonte-williams,0.1418885713647298,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a94f0>,0.0
130,116.9,WR,1.535150467557182,WR64,jalen-mcmillan,0.14119336217205797,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a98e0>,0.0
131,111.1,TE,1.532160237144299,TE24,cade-otton,0.14096318832032229,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a82f0>,0.0
132,130.5,RB,1.5275233450202679,RB43,quinshon-judkins,0.14060626220664457,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201ab620>,0.0
133,115.5,WR,1.514004529507909,WR63,adam-thielen,0.13956564746873756,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201abf80>,0.0
134,109.0,TE,1.5021943467183736,TE22,mike-gesicki,0.13865655522933754,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a9d00>,0.0
135,114.7,WR,1.5019211363368958,WR68,demario-douglas,0.13863552478112592,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201aafc0>,0.0
136,114.5,WR,1.4989002880441424,WR127,tank-dell,0.138402994109223,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a9370>,0.0
137,107.7,TE,1.4836440335975623,TE16,kyle-pitts-sr.,0.13722863950634695,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a9640>,0.0
138,204.0,QB,1.478151105186212,QB24,bryce-young,0.13680581975162112,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201aa6f0>,0.0
139,112.8,WR,1.4732230775557393,WR38,chris-godwin,0.13642648339804825,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a9160>,0.0
140,125.5,RB,1.468027945994233,RB41,tank-bigsby,0.13602658664205455,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201aa120>,0.0
141,110.8,WR,1.4430145946282062,WR67,jayden-higgins,0.1341011766790191,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a9d60>,0.0
142,199.0,QB,1.4410982472866987,QB20,j.j.-mccarthy,0.13395366528760327,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a8e90>,0.0
143,110.0,WR,1.430931201457193,WR59,marvin-mims-jr.,0.13317105399140744,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a9c10>,0.0
144,109.5,WR,1.42337908072531,WR112,ray-ray-mccloud-iii,0.13258972731165017,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a8410>,0.0
145,109.1,WR,1.4173373841398034,WR61,romeo-doubs,0.13212466596784433,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201abe90>,0.0
146,102.7,TE,1.412296675440596,TE20,isaiah-likely,0.1317366559563832,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a8c50>,0.0
147,108.0,WR,1.4007227185296602,WR117,demarcus-robinson,0.13084574727237833,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a8a10>,0.0
148,107.7,WR,1.3961914460905303,WR60,marquise-brown,0.13049695126452396,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201ab560>,0.0
149,119.4,RB,1.3954435591824705,RB87,alexander-mattison,0.1304393824532547,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a87a0>,0.0
150,107.5,WR,1.393170597797777,WR132,allen-lazard,0.13026442059262106,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a85c0>,0.0
151,192.3,QB,1.391447417701351,QB39,kirk-cousins,0.1301317783058194,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201aa420>,0.0
152,106.4,WR,1.376555932187634,WR74,jack-bech,0.12898550189715502,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a9f10>,0.0
153,105.8,WR,1.367493387309374,WR98,tre-tucker,0.12828790988144628,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201ab7a0>,0.0
154,188.6,QB,1.3640283028557108,QB21,tua-tagovailoa,0.12802118400244616,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201aa180>,0.0
155,187.1,QB,1.3529124454858568,QB16,drake-maye,0.12716553766324082,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a9a90>,0.0
156,115.5,RB,1.3490371479421632,RB46,jerome-ford,0.1268672355128745,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a90a0>,0.0
157,97.8,TE,1.3423762644467687,TE28,juwan-johnson,0.12635451207741874,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201a9910>,0.0
158,114.8,RB,1.3407077920785184,RB45,austin-ekeler,0.1262260809338319,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420175c40>,0.0
159,97.1,TE,1.3323876343047933,TE26,mason-taylor,0.1255856343804238,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420174890>,0.0
160,96.9,TE,1.329533739978515,TE31,cole-kmet,0.12536595503842526,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420177470>,0.0
161,96.4,TE,1.3223990041628184,TE43,tyler-conklin,0.1248167566834289,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201769c0>,0.0
162,101.9,WR,1.3085868456006846,WR82,andrei-iosivas,0.12375356177933948,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420177a40>,0.0
163,95.4,TE,1.308129532531425,TE15,colston-loveland,0.12371835997343615,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x4201765a0>,0.0
164,95.3,TE,1.3067025853682857,TE30,elijah-arroyo,0.12360852030243687,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420174f80>,0.0
165,101.0,WR,1.2949930282832947,WR73,michael-wilson,0.12270717375577636,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420175c70>,0.0
166,100.8,WR,1.2919721799905415,WR79,calvin-austin-iii,0.12247464308387346,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420174080>,0.0
167,110.7,RB,1.2919215648771698,RB32,travis-etienne-jr.,0.12247074697086806,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420175a60>,0.0
168,100.7,WR,1.290461755844165,WR101,amari-cooper,0.122358377747922,<scipy.stats._distn_infrastructure.rv_continuous_frozen object at 0x420176900>,0.0
